
False negative test rate,Tracing efficiency,N_infected_done,N_recovered,ReffMean,ReffStd,ReffTheoretical,N_traced,propTracedMean,propTracedStd,theoreticalMean_NoTracingTerm,theoreticalMean_TracingTerm
0.25999999999999995,0.0,15197.196,9922.034,1.5242420708944064,0.004557627780316105,1.5256664029885967,0.0,0.0,0.0,0.4743335970114034,0.0
0.27999999999999997,0.0,15377.364,9980.542,1.5389641926199262,0.003105930309314459,1.5397451178660062,0.0,0.0,0.0,0.4602548821339937,0.0
0.3,0.0,15485.056,9980.466,1.5496206309012872,0.0033075611629505815,1.5532781121886048,0.0,0.0,0.0,0.4467218878113951,0.0
0.32,0.0,15635.036,10000.0,1.5635036000000002,0.002773638425301434,1.5666487189402272,0.0,0.0,0.0,0.4333512810597728,0.0
0.34,0.0,15757.248,9980.37,1.576626718918919,0.0034742858901317146,1.5783834963194854,0.0,0.0,0.0,0.4216165036805146,0.0
0.36000000000000004,0.0,15917.128,10000.0,1.5917128,0.0027845221924057274,1.591984207897526,0.0,0.0,0.0,0.408015792102474,0.0
0.38000000000000006,0.0,16050.184,10000.0,1.6050183999999996,0.0028496562748249656,1.603940382155637,0.0,0.0,0.0,0.39605961784436305,0.0
0.4000000000000001,0.0,16099.968,9961.378,1.6127190842552315,0.00379406458986687,1.6161790013987234,0.0,0.0,0.0,0.38382099860127655,0.0
0.4200000000000001,0.0,16230.26,9960.834,1.6250415303169952,0.0041940777224959225,1.628833385465604,0.0,0.0,0.0,0.371166614534396,0.0
0.4400000000000001,0.0,16447.4,9981.136,1.6462942873239437,0.0033118188431148048,1.6421574924363296,0.0,0.0,0.0,0.3578425075636704,0.0
0.46000000000000013,0.0,16544.46,10000.0,1.6544459999999996,0.0028572729420429303,1.654464229257126,0.0,0.0,0.0,0.3455357707428738,0.0
0.48000000000000015,0.0,16593.83,9980.65,1.6607226153846155,0.0033801052834095506,1.6677772599947907,0.0,0.0,0.0,0.3322227400052094,0.0
0.5000000000000001,0.0,16772.832,10000.0,1.6772832,0.002857468573548559,1.6803010370663674,0.0,0.0,0.0,0.3196989629336326,0.0
0.5200000000000001,0.0,16908.126,10000.0,1.6908125999999999,0.0028839138476454665,1.6927605676231694,0.0,0.0,0.0,0.30723943237683066,0.0
0.5400000000000001,0.0,17001.612,10000.0,1.7001611999999997,0.0026865292755182163,1.7057577193343976,0.0,0.0,0.0,0.29424228066560243,0.0
0.5600000000000002,0.0,17051.236,9980.4,1.7061035999999998,0.0038291933847791064,1.7194566945917955,0.0,0.0,0.0,0.28054330540820444,0.0
0.5800000000000002,0.0,17301.284,10000.0,1.7301284,0.0027292670562274438,1.7316915366098504,0.0,0.0,0.0,0.2683084633901495,0.0
0.6000000000000002,0.0,17414.94,10000.0,1.7414939999999999,0.0028705026980441867,1.7449210504980583,0.0,0.0,0.0,0.2550789495019416,0.0
0.6200000000000002,0.0,17580.824,10000.0,1.7580823999999997,0.0028780592054473307,1.7558493314097654,0.0,0.0,0.0,0.2441506685902347,0.0
0.6400000000000002,0.0,17654.49,10000.0,1.7654489999999998,0.002951500436668663,1.7694425490493815,0.0,0.0,0.0,0.23055745095061844,0.0
0.6600000000000003,0.0,17785.778,10000.0,1.7785778,0.0030698048893108613,1.782957655631995,0.0,0.0,0.0,0.21704234436800485,0.0
0.6800000000000003,0.0,17957.168,10000.0,1.7957168,0.0029984712998112196,1.7960607621763909,0.0,0.0,0.0,0.20393923782360915,0.0
0.7000000000000003,0.0,18059.406,10000.0,1.8059406000000002,0.002969428496271453,1.8086236095009294,0.0,0.0,0.0,0.19137639049907054,0.0
0.7200000000000003,0.0,18221.982,10000.0,1.8221982,0.0031892012483889206,1.821098960135723,0.0,0.0,0.0,0.17890103986427694,0.0
0.7400000000000003,0.0,18344.532,10000.0,1.8344532,0.0031778874298113687,1.8338186824820208,0.0,0.0,0.0,0.16618131751797918,0.0
0.7600000000000003,0.0,18434.292,10000.0,1.8434292,0.0031363021341818693,1.8471266752760473,0.0,0.0,0.0,0.15287332472395254,0.0
0.7800000000000004,0.0,18580.272,10000.0,1.8580272,0.0032601758992588446,1.8596054142245562,0.0,0.0,0.0,0.1403945857754438,0.0
0.8000000000000004,0.0,18796.96,10000.0,1.879696,0.0032148291121676872,1.8726646862415082,0.0,0.0,0.0,0.12733531375849183,0.0
0.8200000000000004,0.0,18865.568,10000.0,1.8865568,0.0030546414808735487,1.884842936655201,0.0,0.0,0.0,0.11515706334479896,0.0
0.8400000000000004,0.0,18929.408,10000.0,1.8929408000000003,0.0030814190883285955,1.8977904708244402,0.0,0.0,0.0,0.10220952917555971,0.0
0.8600000000000004,0.0,19111.954,10000.0,1.9111954000000002,0.00315066118290414,1.910679719805059,0.0,0.0,0.0,0.08932028019494104,0.0
0.8800000000000004,0.0,19263.394,10000.0,1.9263393999999998,0.003107185333492893,1.9233285739384889,0.0,0.0,0.0,0.07667142606151116,0.0
0.9000000000000005,0.0,19359.264,10000.0,1.9359263999999998,0.0031895350874741055,1.9361739477268496,0.0,0.0,0.0,0.06382605227315048,0.0
0.9200000000000005,0.0,19541.31,10000.0,1.9541309999999998,0.00324978473127055,1.948834149700677,0.0,0.0,0.0,0.05116585029932302,0.0
0.9400000000000005,0.0,19547.014,10000.0,1.9547014000000003,0.003079217627657544,1.9617690839697242,0.0,0.0,0.0,0.03823091603027577,0.0
0.9600000000000005,0.0,19686.908,9980.368,1.969587043478261,0.004403469155054955,1.9744754436478484,0.0,0.0,0.0,0.025524556352151496,0.0
0.9800000000000005,0.0,19956.12,10000.0,1.9956120000000002,0.00305791143047559,1.9872152570683697,0.0,0.0,0.0,0.01278474293163039,0.0
1.0000000000000004,0.0,20011.84,10000.0,2.001184,0.00326782152558032,2.0000000000000004,0.0,0.0,0.0,-2.835189989728346e-16,0.0
0.0,0.02,13370.52,9905.364,1.3443384375885101,0.003545399316355565,1.3486066782580484,109.144,0.011155333227310665,5.513784403766804e-5,0.6382110967680853,1.8199082012161458
0.02,0.02,13459.652,9884.66,1.3538523072054123,0.004124171436799199,1.3593147824937462,106.18,0.010923651721487074,6.62413656180623e-5,0.6275350119219167,1.83136372411624
